exp_id	phase	description	model	seed	metric	value	ci_low	ci_high	status	notes
E02_K1_sigmoidal_lowering	2	Phase 2 simulator: E02_K1_sigmoidal_lowering	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.6369	2.5755	2.6983	KEEP	knobs=(1.0, 0.0, 0.0, 6.0, 0.0), B=26.025±0.309, B/pi^2=2.637
E03_K1_half_sigmoidal	2	Phase 2 simulator: E03_K1_half_sigmoidal	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.4114	2.3490	2.4737	KEEP	knobs=(0.5, 0.0, 0.0, 6.0, 0.0), B=23.799±0.314, B/pi^2=2.411
E04_K2_sigmoidal_tilt	2	Phase 2 simulator: E04_K2_sigmoidal_tilt	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.3995	2.3352	2.4638	KEEP	knobs=(0.0, 1.0, 0.0, 6.0, 0.0), B=23.682±0.324, B/pi^2=2.399
E05_K2_half_sigmoidal_tilt	2	Phase 2 simulator: E05_K2_half_sigmoidal_tilt	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.3238	2.2601	2.3875	KEEP	knobs=(0.0, 0.5, 0.0, 6.0, 0.0), B=22.935±0.321, B/pi^2=2.324
E06_K3_light_overlap	2	Phase 2 simulator: E06_K3_light_overlap	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.0771	2.0059	2.1484	KEEP	knobs=(0.0, 0.0, 0.25, 6.0, 0.0), B=20.500±0.359, B/pi^2=2.077
E07_K3_heavy_overlap	2	Phase 2 simulator: E07_K3_heavy_overlap	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	1.9300	1.8525	2.0076	KEEP	knobs=(0.0, 0.0, 0.5, 6.0, 0.0), B=19.049±0.390, B/pi^2=1.930
E08_K4_strong_tilt	2	Phase 2 simulator: E08_K4_strong_tilt	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.5686	2.4953	2.6419	KEEP	knobs=(0.0, 0.0, 0.0, 8.0, 0.0), B=25.351±0.369, B/pi^2=2.569
E09_K4_weak_tilt	2	Phase 2 simulator: E09_K4_weak_tilt	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	1.9954	1.9407	2.0501	KEEP	knobs=(0.0, 0.0, 0.0, 4.0, 0.0), B=19.694±0.276, B/pi^2=1.995
E10_K5_residual_25pct	2	Phase 2 simulator: E10_K5_residual_25pct	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	1.4658	1.4061	1.5255	KEEP	knobs=(0.0, 0.0, 0.0, 6.0, 0.25), B=14.467±0.301, B/pi^2=1.466
E11_K5_residual_50pct	2.5	Phase 2 simulator: E11_K5_residual_50pct	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	0.6543	0.6116	0.6970	KEEP	knobs=(0.0, 0.0, 0.0, 6.0, 0.5), B=6.458±0.215, B/pi^2=0.654
E12_K1K2_both_sigmoidal	2.5	Phase 2 simulator: E12_K1K2_both_sigmoidal	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.7555	2.6931	2.8178	KEEP	knobs=(1.0, 1.0, 0.0, 6.0, 0.0), B=27.195±0.314, B/pi^2=2.755
E13_K1K3_sigmoidal+overlap	2.5	Phase 2 simulator: E13_K1K3_sigmoidal+overlap	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.3613	2.2848	2.4378	KEEP	knobs=(1.0, 0.0, 0.5, 6.0, 0.0), B=23.305±0.385, B/pi^2=2.361
E14_K2K5_sigmoidal+residual	2.5	Phase 2 simulator: E14_K2K5_sigmoidal+residual	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	1.5589	1.4978	1.6201	KEEP	knobs=(0.0, 1.0, 0.0, 6.0, 0.25), B=15.386±0.308, B/pi^2=1.559
E15_K3K5_overlap+residual	2	Phase 2 simulator: E15_K3K5_overlap+residual	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	1.3905	1.3162	1.4649	KEEP	knobs=(0.0, 0.0, 0.5, 6.0, 0.25), B=13.724±0.374, B/pi^2=1.391
E16_best_guess_optimised	2	Phase 2 simulator: E16_best_guess_optimised	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.3586	2.2825	2.4347	KEEP	knobs=(0.7, 0.7, 0.2, 7.0, 0.1), B=23.278±0.383, B/pi^2=2.359
E17_adversarial	2	Phase 2 simulator: E17_adversarial	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	0.6040	0.5691	0.6390	KEEP	knobs=(1.0, 1.0, 0.0, 4.0, 0.5), B=5.962±0.176, B/pi^2=0.604
E18_symmetric_optimal_proxy	2	Phase 2 simulator: E18_symmetric_optimal_proxy	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.2999	2.2278	2.3721	KEEP	knobs=(0.5, 0.5, 0.3, 6.0, 0.0), B=22.699±0.363, B/pi^2=2.300
E19_baseline_seed43	2	Phase 2 simulator: E19_baseline_seed43	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.3719	2.3094	2.4344	KEEP	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), B=23.410±0.315, B/pi^2=2.372
E20_baseline_seed44	2	Phase 2 simulator: E20_baseline_seed44	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.3398	2.2804	2.3992	KEEP	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), B=23.093±0.299, B/pi^2=2.340
E21_baseline_coarse_tau	2	Phase 2 simulator: E21_baseline_coarse_tau	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	1.1963	1.1651	1.2276	KEEP	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), B=11.807±0.157, B/pi^2=1.196
RV01	2.75	Unit conversion: compute tau_rel for Berut apparatus	dimensional_analysis	NA	tau_rel_ms	223.402	NA	NA	RUN_RV	gamma=1.885e-08 kg/s, L=0.313 um, tau_rel=223.40 ms. Empirical B in units of pi^2 * tau_rel: 3.8 x pi^2 tau_rel
RV03_baseline_tau4.0	2.75	Final-well occupation: baseline at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.2500	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), bits_erased_per_cycle=0.189
RV03_baseline_tau8.0	2.75	Final-well occupation: baseline at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.3625	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), bits_erased_per_cycle=0.055
RV03_baseline_tau16.0	2.75	Final-well occupation: baseline at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.4550	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), bits_erased_per_cycle=0.006
RV03_K5_residual_25pct_tau4.0	2.75	Final-well occupation: K5_residual_25pct at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.0775	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.25), bits_erased_per_cycle=0.607
