exp_id	description	model_family	n_features	cv_auc_mean	cv_auc_std	cv_f1_mean	cv_f1_std	cv_precision_mean	cv_recall_mean	holdout_auc	holdout_f1	holdout_precision	holdout_recall	notes
E06	Add frost_days_below_minus12	xgboost	11	0.7841392089284531	0.13193140462549127	0.5193043405988322	0.23215353929235824	0.5834132534132533	0.5805555555555555	0.8027940220922677	0.7433628318584071	0.75	0.7368421052631579	 (5.7s)
E07	Add winter_tmin_abs	xgboost	11	0.7718120776187638	0.15501701528464687	0.5296046355953477	0.21024350696793917	0.6406906594549615	0.5680555555555554	0.8001949317738792	0.7433628318584071	0.75	0.7368421052631579	 (5.7s)
E08	Add coldest_month_anomaly	xgboost	11	0.7805791118872515	0.15733214346007668	0.5165590053201352	0.27188701595042153	0.5617893217893217	0.5680555555555554	0.808641975308642	0.7758620689655172	0.7627118644067796	0.7894736842105263	 (5.6s)
E09	Add frost_severity_index	xgboost	11	0.7847958786476228	0.13710170114270548	0.5054405857024198	0.23778050633606915	0.6457792207792208	0.5361111111111111	0.8008447043534763	0.7478260869565218	0.7413793103448276	0.7543859649122807	 (5.6s)
E10	Add ndvi_trend	xgboost	12	0.8381586455641689	0.20560477195310306	0.7028465440230147	0.2132583953879005	0.7466081871345029	0.6958333333333334	0.8308966861598441	0.7874015748031497	0.7142857142857143	0.8771929824561403	 (5.1s)
E11	Add ndvi_anomaly	xgboost	13	0.8389388292585966	0.19778908594917152	0.720101445983799	0.18935669406116284	0.7535526315789474	0.7305555555555555	0.8122157244964262	0.7424242424242424	0.6533333333333333	0.8596491228070176	 (5.0s)
E12	Add ndvi_std	xgboost	14	0.8449262075134168	0.18817297009720726	0.705589081270092	0.21143320443927577	0.7421645021645021	0.7083333333333334	0.8193632228719948	0.768	0.7058823529411765	0.8421052631578947	 (4.9s)
E13	Add evi_mean	xgboost	15	0.8427025773537402	0.1838976978113094	0.6989372048195579	0.2193451089729978	0.7583370190181336	0.6805555555555556	0.8226120857699806	0.7874015748031497	0.7142857142857143	0.8771929824561403	 (5.0s)
E14	Add ndvi_decline_rate	xgboost	15	0.8438765901411249	0.1954308520560828	0.7171764705882353	0.24199015726291828	0.7525641025641026	0.7111111111111111	0.8125406107862247	0.7540983606557377	0.7076923076923077	0.8070175438596491	 (4.8s)
E15	Add summer_precip_mm	xgboost	15	0.8479078877625389	0.18181877998744303	0.7119048707437761	0.19083681195987792	0.7404220779220779	0.7305555555555555	0.7842755035737492	0.75	0.7142857142857143	0.7894736842105263	 (5.0s)
E16	Add precip_deficit_frac	xgboost	16	0.8286324165175909	0.19860518140647784	0.6883163539973647	0.211224331570565	0.722036297036297	0.6958333333333334	0.7829759584145549	0.7377049180327869	0.6923076923076923	0.7894736842105263	 (4.9s)
E17	Add ndvi_x_jan_tmin interaction	xgboost	16	0.8494899125422382	0.17499877540909117	0.6998747955558062	0.22801635450207475	0.745146958304853	0.6861111111111111	0.783625730994152	0.743801652892562	0.703125	0.7894736842105263	 (4.9s)
E18	Add aridity_proxy	xgboost	17	0.8426647286821705	0.18281335551599448	0.6941614662689848	0.21857707425846118	0.7277154912597951	0.701388888888889	0.7761533463287849	0.7479674796747967	0.696969696969697	0.8070175438596491	 (5.0s)
E19	Add lat_from_salento	xgboost	17	0.8492290300139137	0.17175277719235865	0.7131130289953819	0.1844292038761198	0.7508771929824561	0.7152777777777777	0.7878492527615335	0.7540983606557377	0.7076923076923077	0.8070175438596491	 (4.9s)
E20	Add greenup_proxy	xgboost	17	0.8425792378917378	0.18096304387054915	0.7099909876994277	0.20756138781645633	0.7463736263736264	0.711111111111111	0.7868745938921378	0.7603305785123967	0.71875	0.8070175438596491	 (4.9s)
E21	Add soil_moisture_proxy	xgboost	17	0.8494142151990989	0.17174202737129052	0.714636700317711	0.18570368165554377	0.751287309182046	0.7180555555555556	0.7875243664717348	0.75	0.7142857142857143	0.7894736842105263	 (4.9s)
E22	Add province_ordinal	xgboost	17	0.8404782846352614	0.17416215075673627	0.6818209653280629	0.21829910196200145	0.7087326466636811	0.7083333333333334	0.7839506172839507	0.7603305785123967	0.71875	0.8070175438596491	 (4.9s)
E23	Add country indicator	xgboost	17	0.8424710958722587	0.1844692138530293	0.7045660633672787	0.20728995239038536	0.7481962481962482	0.6958333333333334	0.7855750487329435	0.7540983606557377	0.7076923076923077	0.8070175438596491	 (4.9s)
M_A	Mechanism A: Frost-kill (climate only)	xgboost	8	0.45829686597855196	0.11191573938622275	0.14455370452274477	0.1130131421351305	0.24895228884590587	0.14166666666666666	0.44346978557504874	0.03389830508474576	0.5	0.017543859649122806	Phase 2.5 mechanism comparison
M_B	Mechanism B: Diffusion (spatial only)	xgboost	5	0.5711634665668095	0.16382686810115443	0.3381624664643533	0.30636767038961776	0.35545977011494256	0.4	0.7720922677063028	0.0	0.0	0.0	Phase 2.5 mechanism comparison
M_C	Mechanism C: Combined (climate + spatial)	xgboost	13	0.4883127171063218	0.10585315230339049	0.1982010582010582	0.25146954220548556	0.2526984126984127	0.17222222222222222	0.6156595191682911	0.3614457831325301	0.5769230769230769	0.2631578947368421	Phase 2.5 mechanism comparison
